                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    131,                0.64933,                0.66319,                0.88042,                0.90254,                0.75131,                0.84208,                0.66549,                0.60038,                0.74412,                0.85619,               0.007841,               0.007841,               0.007841
                    132,                0.64677,                0.65246,                 0.8786,                0.89825,                0.76264,                0.83983,                0.66236,                 0.6023,                 0.7603,                0.85697,               0.007806,               0.007806,               0.007806
                    133,                0.64095,                0.65352,                 0.8778,                0.90059,                0.75887,                0.84069,                0.65911,                0.60996,                 0.7744,                0.86084,               0.007771,               0.007771,               0.007771
                    134,                0.64656,                0.66071,                0.87912,                0.90553,                0.76178,                0.84433,                0.66596,                0.60582,                0.76361,                0.85923,               0.007736,               0.007736,               0.007736
                    135,                0.64113,                0.64905,                0.87796,                0.91518,                0.76264,                0.84239,                0.66057,                0.60621,                0.75943,                0.85899,               0.007701,               0.007701,               0.007701
                    136,                0.63572,                0.64362,                0.87651,                  0.902,                0.76963,                0.84737,                0.66865,                0.60275,                0.76958,                0.85706,               0.007666,               0.007666,               0.007666
                    137,                0.64917,                0.65745,                0.87562,                0.92598,                0.75324,                0.84678,                0.66276,                0.60608,                0.76564,                0.85758,               0.007631,               0.007631,               0.007631
                    138,                0.63713,                0.64022,                 0.8763,                0.91197,                0.75916,                0.84897,                0.66526,                 0.6061,                0.75144,                0.85848,               0.007596,               0.007596,               0.007596
                    139,                0.63764,                0.63866,                0.87528,                0.91607,                 0.7644,                0.84817,                0.66611,                0.60347,                0.74452,                0.85568,               0.007561,               0.007561,               0.007561
                    140,                0.64135,                0.63793,                0.87712,                0.89948,                0.77305,                0.84963,                0.66832,                0.59763,                0.74281,                0.85459,               0.007526,               0.007526,               0.007526
                    141,                0.63897,                0.63418,                0.87688,                0.89604,                 0.7801,                0.85156,                0.67425,                0.59726,                0.73468,                 0.8548,               0.007491,               0.007491,               0.007491
                    142,                0.63231,                0.61851,                0.86949,                 0.9148,                0.76178,                0.85193,                0.67285,                0.60182,                0.73324,                0.85702,              0.0074561,              0.0074561,              0.0074561
                    143,                0.64811,                0.64739,                0.87606,                0.90539,                0.76702,                0.85292,                0.67552,                0.60502,                0.74578,                0.85808,              0.0074211,              0.0074211,              0.0074211
                    144,                0.63213,                0.63507,                0.87191,                0.91743,                0.75654,                0.85305,                0.67504,                 0.6031,                0.73165,                0.85855,              0.0073861,              0.0073861,              0.0073861
                    145,                0.63085,                0.62555,                0.87018,                0.89604,                0.77487,                0.85394,                0.67752,                0.60534,                 0.7248,                0.85694,              0.0073511,              0.0073511,              0.0073511
                    146,                0.63854,                0.63027,                0.87427,                0.92413,                0.75393,                0.85426,                0.68241,                0.59987,                0.71663,                0.85517,              0.0073161,              0.0073161,              0.0073161
                    147,                 0.6338,                0.62904,                0.87386,                0.92233,                0.76178,                0.85374,                0.67768,                0.60529,                0.70921,                0.85665,              0.0072811,              0.0072811,              0.0072811
                    148,                0.64008,                0.63989,                0.87309,                0.90806,                0.76702,                0.85347,                0.67643,                 0.6053,                0.72684,                0.85772,              0.0072461,              0.0072461,              0.0072461
                    149,                0.63434,                0.62161,                0.87121,                0.89962,                0.78534,                0.85567,                 0.6765,                0.60569,                0.72686,                0.85812,              0.0072111,              0.0072111,              0.0072111
                    150,                0.63522,                 0.6202,                0.87172,                0.91144,                0.78129,                0.85701,                0.67758,                0.59999,                0.73146,                0.85557,              0.0071761,              0.0071761,              0.0071761
