                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                0.93739,                0.57368,                 1.1088,                0.94469,                0.84949,                0.92139,                0.75501,                0.85222,                0.66652,                 1.1346,              0.0066057,              0.0066057,              0.0066057
                    122,                0.93463,                0.56632,                  1.118,                0.93681,                0.85388,                0.92108,                0.75665,                0.84788,                 0.6655,                  1.133,              0.0065774,              0.0065774,              0.0065774
                    123,                0.93146,                0.56033,                 1.1001,                 0.9386,                0.85602,                0.92183,                0.75777,                0.84663,                0.66131,                 1.1319,              0.0065491,              0.0065491,              0.0065491
                    124,                0.93532,                0.57183,                 1.1193,                0.93671,                0.85864,                0.92224,                 0.7588,                0.84642,                0.66242,                 1.1317,              0.0065209,              0.0065209,              0.0065209
                    125,                0.94069,                0.56932,                 1.1122,                0.94015,                0.86126,                0.91994,                0.75584,                0.84203,                0.66027,                 1.1295,              0.0064926,              0.0064926,              0.0064926
                    126,                 0.9397,                0.56781,                 1.1086,                0.93782,                0.86126,                0.92069,                 0.7568,                0.84185,                0.65246,                 1.1304,              0.0064643,              0.0064643,              0.0064643
                    127,                0.92372,                0.55135,                 1.1008,                0.94277,                0.86254,                0.92113,                0.75658,                0.84098,                0.65128,                 1.1295,               0.006436,               0.006436,               0.006436
                    128,                0.93122,                0.56402,                 1.1111,                  0.949,                0.86387,                0.92306,                0.75631,                0.84613,                0.65249,                 1.1328,              0.0064077,              0.0064077,              0.0064077
                    129,                0.92846,                0.55461,                 1.1103,                0.94817,                0.86203,                0.92352,                0.75561,                0.84401,                 0.6502,                 1.1313,              0.0063794,              0.0063794,              0.0063794
                    130,                0.92576,                0.55058,                 1.1038,                0.94182,                0.86387,                0.92384,                 0.7565,                0.84067,                0.65738,                 1.1287,              0.0063511,              0.0063511,              0.0063511
                    131,                0.92717,                0.55411,                 1.1037,                0.94317,                0.86911,                0.92628,                0.76159,                0.83693,                0.65334,                  1.127,              0.0063229,              0.0063229,              0.0063229
                    132,                0.92091,                0.55178,                 1.0991,                0.95084,                0.86079,                0.92727,                0.76235,                0.83629,                0.65744,                  1.126,              0.0062946,              0.0062946,              0.0062946
                    133,                0.92681,                0.55465,                 1.1081,                0.94979,                0.85864,                0.92469,                0.75996,                0.83527,                0.65693,                 1.1254,              0.0062663,              0.0062663,              0.0062663
                    134,                0.92425,                0.55368,                 1.0958,                0.93944,                0.86126,                0.92397,                0.75835,                0.83785,                0.65417,                 1.1271,               0.006238,               0.006238,               0.006238
                    135,                0.92743,                0.55935,                 1.1018,                0.94777,                0.85511,                0.92233,                 0.7573,                0.83503,                0.65421,                  1.127,              0.0062097,              0.0062097,              0.0062097
                    136,                0.92197,                0.54401,                 1.1027,                0.94101,                0.85864,                0.92403,                0.75608,                0.83559,                0.66086,                  1.127,              0.0061814,              0.0061814,              0.0061814
                    137,                0.91575,                0.55097,                 1.0989,                0.93584,                0.86126,                0.92401,                0.75755,                 0.8347,                0.66165,                 1.1259,              0.0061531,              0.0061531,              0.0061531
                    138,                0.92023,                0.54341,                 1.1035,                0.93722,                 0.8597,                0.92219,                0.75646,                0.83499,                0.66885,                 1.1254,              0.0061249,              0.0061249,              0.0061249
